,,,,,,,,,,,,,,,,,,,,Change,,,,Growth
Locality,,2014,2015,2016,2017,,2018,2019,,2020,,2021,2022,2023,,2024,,Prelim 2025,,23-24 (%),,14-24 (%),,"PA 14-24
(%)"
ABBOTSFORD,,575000,530000,600000,598500,,563500,571500,,601500,,612000,562500,530000,,512500,,535000,,-3,,-11,,-1.1
ABERFELDIE,,490000,555000,510000,820000,,760000,950000,,547500,,655000,885000,750000,,634000,,810000,,-15,,29,,2.6
AIRPORT WEST,,460000,470000,535000,591500,,601000,608000,,621000,,619000,652000,650000,,683000,,657000,,5,,48,,4.0
ALBERT PARK,,863000,815000,850000,662500,,1300000,870000,,875000,,835000,1505000,980000,,1352500,,1090000,,38,,57,,4.6
ALBION,,279000,213500,240000,292000,,360000,268500,,530000,,287500,275000,297000,,281000,,281000,,-5,,1,,0.1
ALFREDTON,,233500,254000,285000,285000,,240500,285000,,350000,,350000,360000,358000,,400000,,385000,,12,,71,,5.5
ALPHINGTON,,715500,582500,809000,700000,,702500,673500,,675000,,789000,754500,775000,,760000,,812000,,-2,,6,,0.6
ALTONA,,465000,550000,620000,630000,,659000,634000,,647500,,725000,713000,700000,,680000,,742000,,-3,,46,,3.9
ALTONA EAST,,500000,545000,569000,601000,,675500,645000,,650000,,787500,742500,775000,,755000,,698500,,-3,,51,,4.2
ALTONA MEADOWS,,320000,353500,365000,440500,,457500,488500,,480000,,487000,492500,520000,,551500,,555000,,6,,72,,5.6
ALTONA NORTH,,470000,530000,531000,630000,,646000,630000,,649500,,726500,718500,787500,,729500,,722500,,-7,,55,,4.5
ARARAT,,185000 ^,170000,162000,120000,,209000,207000,,207500,,238500,248500,315000,,302500,,300000,,-4,,64,,5.0
ARDEER,,318000,350000,380000,472500,,491000,531000,,539000,,565000,557500,576500,,587500,,575000,,2,,85,,6.3
ARMADALE,,610000,830000,779000,775000,,660000,702000,,750000,,778500,705500,730000,,720000,,655000,,-1,,18,,1.7
ASCOT VALE,,500000,522500,501000,564500,,525000,517000,,610000,,605000,560000,540000,,520000,,502500,,-4,,4,,0.4
ASHBURTON,,734000,1015000,1200000,1215000,,922500,1144500,,1241500,,1080000,1123500,1582000,,1260000,,1250000,,-20,,72,,5.6
ASHWOOD,,631000,701500,811000,880000,,850000,872000,,956000,,974000,980000,990000,,1127500,,1225000,,14,,79,,6.0
ASPENDALE,,570000,604000,685000,817500,,800000,752500,,836500,,820500,905000,796000,,815000,,518500,,2,,43,,3.6
AVONDALE HEIGHTS,,468000,447500,534000,582500,,550000,628000,,665000,,710000,694500,670000,,680000,,684500,,1,,45,,3.8
BACCHUS MARSH,,295000,279000,287000,305000,,298500,393000,,340000,,392500,463000,430000,,450000,,372500,,5,,53,,4.3
BALACLAVA,,456500,492000,596000,576500,,592500,651000,,642500,,661500,605000,580000,,567500,,530000,,-2,,24,,2.2
BALLAN,,277500 ^,315000,^   320000,340000,^,389500,337000,,378500,,384500,434500,475000,,440000,,620000,,-7,,59,,4.7
BALLARAT CENTRAL,,242500,267000,275500,255000,,278000,260500,,468500,,392500,402500,398500,,390000,,360000,,-2,,61,,4.9
BALLARAT EAST,,252500,267000,230000,272500,,282500,288500,,322000,,365000,420000,405000,,395000,,412000,,-2,,56,,4.6
BALLARAT NORTH,,245000,240000,228000,225000,,253000,290000,,333000,,370000,427500,385000,,375000,,419000,,-3,,53,,4.3
BALWYN,,595000,820000,667000,799000,,690000,905000,,900000,,860500,1100000,887500,,830500,,730500,,-6,,40,,3.4
BALWYN NORTH,,735000,972500,991500,955000,,1000000,1035500,,975000,,1173000,1085000,1288000,,1100000,,1406500,,-15,,50,,4.1
BARWON HEADS,,615000,617500,626500,777500,,665000,926000,,930000,,1112500,1350000,1025000,,1030000,,920000,,0,,67,,5.3
BAXTER,,309000 ^,330000,^   360500  ^,378000,^,512500,^,475000,^,530000,615000,645000,607500,,605000,,586000,,0,,96,,6.9
BAYSWATER,,389000,450000,457500,568000,,592500,585000,,600000,,643500,647500,639000,,680000,,645000,,6,,75,,5.7
BAYSWATER NORTH,,354000,409000,444500,520000,,525000,480000,,554000,,640000,600000,605000,,680000,,638500,,12,,92,,6.7
BEACONSFIELD,,355500,400500,398000,463000,,460000,453000,,500000,,610000,549000,534500,,590000,,550000,,10,,66,,5.2
BEAUMARIS,,775000,896500,1018500,940000,,900000,887500,,1078000,,1230000,1280000,1250000,,1280000,,850000,,2,,65,,5.1
BELL PARK,,297500,295500,317500,343000,392000,,,397500,,420000,497500,552500,520000,,510000,,485000,,-2,,71,,5.5
BELL POST HILL,,218000,328000,^   239000  ^,314500,356000,,^,385000,^,376500,406000,454000,437500,,435000,,495000,,-1,,100,,7.2
BELLFIELD (BANYULE),,523000,527500,^   477500,614500,665000,,,655000,,715000,895000,691000,841000,,734000,,965000,,-13,,40,,3.4
BELMONT,,296000,310000,315000,355500,388500,,,414500,,467000,550000,557000,520000,,525000,,585000,,1,,77,,5.9
BENALLA,,182500,186000,181500,185000,185000,,,209500,,209500,253000,321000,302500,,309000,,312500,,2,,69,,5.4
BENDIGO,,308500,280000,260000,281500,291500,,,275000,,420500,410500,480000,480000,,477500,,536000,,-1,,55,,4.5
BENTLEIGH,,590000,570000,617500,653000,675500,,,655000,,660000,834000,735000,815000,,820000,,577000,,1,,39,,3.3
BENTLEIGH EAST,,634000,677500,665500,600000,730000,,,700000,,865000,982500,962500,1090000,,927000,,705000,,-15,,46,,3.9
BERWICK,,380000,425000,427000,490000,515000,,,530000,,586500,620500,640000,650000,,660000,,704000,,2,,74,,5.7
BITTERN,,302500,355000,340000,433000,497500,,,450000,,505000,590000,627500,706500,,601000,,659000,,-15,,99,,7.1
BLACK HILL,,255000,245000,^   186500  ^,285000,260000,,,282500,^,340000,385000,460000,385000,,362500,,412500,,-6,,42,,3.6
BLACK ROCK,,700000,820000,880000,945000,1150000,,,950000,,917500,1208000,1327500,1215000,,1245000,,920000,,2,,78,,5.9
BLACKBURN,,522500,591000,595000,626000,650000,,,565000,,607500,640000,727500,718000,,701000,,727500,,-2,,34,,3.0
BLACKBURN NORTH,,600000,715500,715000,785000,700000,,,768500,,715000,844500,950000,854500,,979000,,522500,,15,,63,,5.0
BLACKBURN SOUTH,,592000,642000,767000,722500,660000,,,760500,,762000,720000,923000,911000,,742500,,948000,,-18,,25,,2.3
BONBEACH,,456000,469500,537500,600000,617500,,,541000,,637500,745000,651000,680000,,698500,,712000,,3,,53,,4.4
BORONIA,,410000,432500,485000,576000,590000,,,566500,,590000,649500,655000,651500,,660000,,652500,,1,,61,,4.9
BOX HILL,,483500,495000,605000,603500,522000,,,599000,,609500,552000,556000,585000,,588000,,520000,,1,,22,,2.0
BOX HILL NORTH,,631500,750000,825000,858000,750000,,,865000,,850000,880000,890500,846000,,882000,,858000,,4,,40,,3.4
BOX HILL SOUTH,,648000,752000,774500,850000,726000,,,713000,,828000,1060000,897500,920000,,906000,,935000,,-2,,40,,3.4
BRAYBROOK,,430000,441000,460000,514000,566500,,,562500,,591500,600000,580000,600000,,620000,,615000,,3,,44,,3.7
BRIAR HILL,,485500,575000,651000,670000,667000,,,650000,,723000,799500,775000,863000,,885000,,715000,,3,,82,,6.2
BRIGHT,,243000,245000,273000,349000,342500,,,450000,,475000,560500,750000,636000,,610000,,600000,,-4,,151,,9.6
BRIGHTON,,700000,845000,977000,975000,1184000,,,1125000,,1090000,1400000,1500000,1375000,,1315500,,1600000,,-4,,88,,6.5
BRIGHTON EAST,,800000,957000,922500,957500,945000,,,995000,,1040000,1111000,1190000,1250000,,1245000,,1120000,,0,,56,,4.5
BROADFORD,,235000 ^,218000,^   279500  ^,305000,307500,,^,260000,^,285000,372500,406500,450000,,475000,,380000,,6,,102,,7.3
BROADMEADOWS,,300000,300000,330000,368000,420000,,,395000,,420000,440000,455000,445000,,452500,,458000,,2,,51,,4.2
BROOKLYN,,423000,447000,480000,552500,605000,,,570000,,620000,627000,625000,630000,,655000,,651500,,4,,55,,4.5
BROWN HILL,,242500,249000,247500,255500,285000,,,305000,,312000,350000,425000,389000,,380000,,360000,,-2,,57,,4.6
BRUNSWICK,,489000,495000,500000,500000,525000,,,600500,,584500,616000,600000,570000,,565000,,500000,,-1,,16,,1.5
BRUNSWICK EAST,,490500,521000,520000,569500,544000,,,555500,,607500,655000,620000,570000,,550000,,540000,,-4,,12,,1.1
BRUNSWICK WEST,,407500,420000,467000,479000,467000,,,499500,,535000,540000,489500,451000,,471000,,395500,,4,,16,,1.5
BULLEEN,,629000,722500,768000,787000,746000,,,675000,,751000,755000,845000,890000,,790000,,938000,,-11,,26,,2.3
BUNDOORA,,406500,407500,401000,437000,441500,,,419000,,470000,475000,470000,460000,,470000,,455000,,2,,16,,1.5
BURNLEY,,420000,412500,470000  ^,497500,987500,,^,445000,^,539000,513000,572000,535000,,336500,,527000,,-37,,-20,,-2.2
BURWOOD,,592500,596000,666000,750000,710000,,,723000,,762000,860000,810000,861000,,787500,,600000,,-9,,33,,2.9
BURWOOD EAST,,530000,600000,600000,835000,561000,,,599500,,627000,668000,639000,622500,,698000,,548000,,12,,32,,2.8
CAIRNLEA,,380000 ^,429000,392500,403000,429500,,,432500,,395000,419000,425000,425000,,413500,,404500,,-3,,9,,0.9
CALIFORNIA GULLY,,200000 ^,246000,^   195000,220000,265000,,^,197000,,290000,297000,345000,365000,,315500,,445000,,-14,,58,,4.7
